%     X       Y           lat            lon
%     m       m           deg            deg
   473000  -986000    79.92977781  -19.37221948
   474000  -986000    79.92581120  -19.32499972
   475000  -986000    79.92183782  -19.27781734
   476000  -986000    79.91785766  -19.23067238
   477000  -986000    79.91387074  -19.18356483
   478000  -986000    79.90987706  -19.13649474
   479000  -986000    79.90587664  -19.08946210
   480000  -986000    79.90186947  -19.04246695
   453000  -987000    79.99934555  -20.34645940
   454000  -987000    79.99551952  -20.29852802
   455000  -987000    79.99168655  -20.25063351
   456000  -987000    79.98784664  -20.20277588
   457000  -987000    79.98399981  -20.15495516
   458000  -987000    79.98014606  -20.10717137
   459000  -987000    79.97628541  -20.05942453
   460000  -987000    79.97241785  -20.01171468
   461000  -987000    79.96854340  -19.96404182
   462000  -987000    79.96466208  -19.91640599
   463000  -987000    79.96077387  -19.86880721
   464000  -987000    79.95687880  -19.82124550
   465000  -987000    79.95297687  -19.77372088
   466000  -987000    79.94906809  -19.72623338
   467000  -987000    79.94515246  -19.67878301
   468000  -987000    79.94123001  -19.63136980
   469000  -987000    79.93730072  -19.58399377
   470000  -987000    79.93336462  -19.53665494
   471000  -987000    79.92942171  -19.48935333
   472000  -987000    79.92547200  -19.44208896
   473000  -987000    79.92151549  -19.39486185
   474000  -987000    79.91755220  -19.34767202
   475000  -987000    79.91358213  -19.30051949
   476000  -987000    79.90960530  -19.25340428
   477000  -987000    79.90562170  -19.20632642
   478000  -987000    79.90163135  -19.15928591
   479000  -987000    79.89763426  -19.11228278
   480000  -987000    79.89363043  -19.06531705
   481000  -987000    79.88961987  -19.01838873
   451000  -988000    79.99864098  -20.46435808
   452000  -988000    79.99483209  -20.41638485
   453000  -988000    79.99101624  -20.36844835
   454000  -988000    79.98719346  -20.32054859
   455000  -988000    79.98336373  -20.27268561
   456000  -988000    79.97952707  -20.22485943
   457000  -988000    79.97568350  -20.17707007
   458000  -988000    79.97183301  -20.12931756
   459000  -988000    79.96797562  -20.08160191
   460000  -988000    79.96411133  -20.03392316
   461000  -988000    79.96024015  -19.98628133
   462000  -988000    79.95636209  -19.93867644
   463000  -988000    79.95247716  -19.89110851
   464000  -988000    79.94858537  -19.84357756
   465000  -988000    79.94468672  -19.79608362
   466000  -988000    79.94078123  -19.74862671
   467000  -988000    79.93686889  -19.70120685
   468000  -988000    79.93294973  -19.65382406
   469000  -988000    79.92902374  -19.60647836
   470000  -988000    79.92509093  -19.55916978
   471000  -988000    79.92115132  -19.51189834
   472000  -988000    79.91720491  -19.46466405
   473000  -988000    79.91325172  -19.41746694
   474000  -988000    79.90929173  -19.37030702
   475000  -988000    79.90532498  -19.32318432
   476000  -988000    79.90135146  -19.27609885
   477000  -988000    79.89737118  -19.22905064
   478000  -988000    79.89338415  -19.18203971
   479000  -988000    79.88939039  -19.13506607
   480000  -988000    79.88538989  -19.08812974
   481000  -988000    79.88138266  -19.04123074
   449000  -989000    79.99789427  -20.58223957
   450000  -989000    79.99410254  -20.53422491
   451000  -989000    79.99030384  -20.48624683
   452000  -989000    79.98649818  -20.43830537
   453000  -989000    79.98268557  -20.39040055
   454000  -989000    79.97886602  -20.34253239
   455000  -989000    79.97503954  -20.29470092
   456000  -989000    79.97120613  -20.24690616
   457000  -989000    79.96736581  -20.19914814
   458000  -989000    79.96351857  -20.15142688
   459000  -989000    79.95966444  -20.10374240
   460000  -989000    79.95580341  -20.05609474
   461000  -989000    79.95193550  -20.00848390
   462000  -989000    79.94806071  -19.96090992
   463000  -989000    79.94417905  -19.91337281
   464000  -989000    79.94029053  -19.86587261
   465000  -989000    79.93639516  -19.81840932
   466000  -989000    79.93249294  -19.77098298
   467000  -989000    79.92858389  -19.72359361
   468000  -989000    79.92466801  -19.67624122
   469000  -989000    79.92074531  -19.62892584
   470000  -989000    79.91681580  -19.58164749
   471000  -989000    79.91287948  -19.53440619
   472000  -989000    79.90893638  -19.48720194
   473000  -989000    79.90498648  -19.44003483
   474000  -989000    79.90102980  -19.39290480
   475000  -989000    79.89706636  -19.34581191
   476000  -989000    79.89309615  -19.29875617
   477000  -989000    79.88911919  -19.25173760
   478000  -989000    79.88513548  -19.20475621
   479000  -989000    79.88114503  -19.15781204
   480000  -989000    79.87714785  -19.11090509
   481000  -989000    79.87314395  -19.06403540
   482000  -989000    79.86913334  -19.01720296
   447000  -990000    79.99710543  -20.70010288
   448000  -990000    79.99333087  -20.65204720
   449000  -990000    79.98954933  -20.60402797
   450000  -990000    79.98576082  -20.55604522
   451000  -990000    79.98196535  -20.50809897
   452000  -990000    79.97816292  -20.46018925
   453000  -990000    79.97435354  -20.41231609
   454000  -990000    79.97053723  -20.36447950
   455000  -990000    79.96671399  -20.31667949
   456000  -990000    79.96288382  -20.26891615
   457000  -990000    79.95904674  -20.22118945
   458000  -990000    79.95520275  -20.17349942
   459000  -990000    79.95135187  -20.12584609
   460000  -990000    79.94749410  -20.07822948
   461000  -990000    79.94362944  -20.03064962
   462000  -990000    79.93975792  -19.98310652
   463000  -990000    79.93587952  -19.93560022
   464000  -990000    79.93199427  -19.88813073
   465000  -990000    79.92810217  -19.84069808
   466000  -990000    79.92420323  -19.79330229
   467000  -990000    79.92029746  -19.74594338
   468000  -990000    79.91638486  -19.69862137
   469000  -990000    79.91246545  -19.65133629
   470000  -990000    79.90853922  -19.60408815
   471000  -990000    79.90460620  -19.55687698
   472000  -990000    79.90066639  -19.50970279
   473000  -990000    79.89671979  -19.46256561
   474000  -990000    79.89276641  -19.41546546
   475000  -990000    79.88880627  -19.36840235
   476000  -990000    79.88483937  -19.32137631
   477000  -990000    79.88086572  -19.27438736
   478000  -990000    79.87688532  -19.22743551
   479000  -990000    79.87289819  -19.18052079
   480000  -990000    79.86890433  -19.13364321
   481000  -990000    79.86490375  -19.08680279
   482000  -990000    79.86089646  -19.03999955
   445000  -991000    79.99627448  -20.81794700
   446000  -991000    79.99251711  -20.76985073
   447000  -991000    79.98875274  -20.72179077
   448000  -991000    79.98498139  -20.67376715
   449000  -991000    79.98120306  -20.62577989
   450000  -991000    79.97741776  -20.57782903
   451000  -991000    79.97362551  -20.52991458
   452000  -991000    79.96982630  -20.48203658
   453000  -991000    79.96602016  -20.43419504
   454000  -991000    79.96220707  -20.38639000
   455000  -991000    79.95838706  -20.33862148
   456000  -991000    79.95456014  -20.29088950
   457000  -991000    79.95072630  -20.24319408
   458000  -991000    79.94688556  -20.19553526
   459000  -991000    79.94303792  -20.14791304
   460000  -991000    79.93918340  -20.10032747
   461000  -991000    79.93532200  -20.05277856
   462000  -991000    79.93145373  -20.00526633
   463000  -991000    79.92757859  -19.95779081
   464000  -991000    79.92369661  -19.91035202
   465000  -991000    79.91980778  -19.86294999
   466000  -991000    79.91591211  -19.81558472
   467000  -991000    79.91200961  -19.76825625
   468000  -991000    79.90810029  -19.72096460
   469000  -991000    79.90418415  -19.67370979
   470000  -991000    79.90026121  -19.62649184
   471000  -991000    79.89633148  -19.57931077
   472000  -991000    79.89239495  -19.53216661
   473000  -991000    79.88845165  -19.48505936
   474000  -991000    79.88450157  -19.43798906
   475000  -991000    79.88054472  -19.39095572
   476000  -991000    79.87658112  -19.34395937
   477000  -991000    79.87261078  -19.29700001
   478000  -991000    79.86863369  -19.25007768
   479000  -991000    79.86464987  -19.20319239
   480000  -991000    79.86065932  -19.15634415
   481000  -991000    79.85666206  -19.10953300
   482000  -991000    79.85265810  -19.06275894
   483000  -991000    79.84864743  -19.01602200
   442000  -992000    79.99913460  -20.98394356
   443000  -992000    79.99540143  -20.93577096
   444000  -992000    79.99166125  -20.88763452
   445000  -992000    79.98791407  -20.83953424
   446000  -992000    79.98415989  -20.79147017
   447000  -992000    79.98039872  -20.74344232
   448000  -992000    79.97663057  -20.69545073
   449000  -992000    79.97285545  -20.64749542
