% site name: QAAR
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.9390   -23.3     9.0    63.8     3.9   -41.8     4.1
2007.9450   -31.9     5.7    66.1     2.6   -41.7     3.0
2007.9472   -39.5     3.5    65.4     1.9   -43.6     2.1
2007.9500   -24.8     3.5    65.4     1.9   -42.6     2.1
2007.9530   -27.8     3.4    66.9     1.9   -41.2     2.0
2007.9554   -29.7     3.3    66.1     1.9   -42.3     2.0
2007.9582   -29.7     3.3    66.9     1.9   -41.1     2.0
2007.9610   -27.8     3.4    67.2     1.9   -40.7     2.0
2007.9640   -33.5     3.7    66.6     2.0   -40.6     2.2
2007.9670   -29.4     3.4    66.0     1.9   -39.1     2.0
2007.9692   -29.3     3.6    67.0     2.0   -41.9     2.1
2007.9720   -30.2     3.5    66.4     1.9   -41.9     2.1
2007.9750   -19.8     3.4    65.5     1.9   -40.9     2.0
2007.9774   -29.5     3.4    65.4     1.9   -42.6     2.0
2007.9802   -21.6     3.3    64.3     1.9   -41.7     2.0
2007.9830   -17.8     3.3    65.5     1.8   -40.8     1.9
2007.9860   -27.9     3.3    65.6     1.8   -40.6     1.9
2007.9884   -22.3     3.3    66.5     1.9   -40.7     2.0
2007.9910   -21.3     3.4    64.7     1.9   -40.5     2.0
2007.9940   -34.0     3.3    64.5     1.9   -41.6     2.0
2007.9970   -27.4     3.3    64.5     1.9   -41.8     2.0
2007.9992   -30.6     3.3    64.3     1.8   -41.5     1.9
2008.0020   -24.1     3.2    64.4     1.9   -41.4     2.0
2008.0050   -24.6     3.3    65.7     1.9   -41.7     2.0
2008.0074   -26.0     3.2    65.5     1.9   -42.0     2.0
2008.0102   -27.6     3.3    65.6     1.9   -42.8     2.0
2008.0130   -27.3     3.5    66.9     1.9   -41.1     2.1
2008.0160   -24.1     3.5    65.4     1.9   -40.8     2.1
2008.0190   -27.0     3.6    65.5     2.0   -41.7     2.2
2008.0212   -28.9     3.5    64.6     1.9   -41.5     2.1
2008.0240   -26.6     3.5    64.3     2.0   -41.1     2.0
2008.0270   -29.4     3.3    65.5     1.9   -41.3     2.0
2008.0294   -31.8     3.3    64.7     1.9   -41.2     2.0
2008.0322   -29.8     3.3    65.3     1.9   -40.4     2.0
2008.0350   -31.0     3.5    64.5     1.9   -41.4     2.1
2008.0380   -26.3     3.5    63.7     1.9   -42.6     2.1
2008.0404   -24.5     3.6    66.3     2.0   -40.4     2.0
2008.0430   -20.8     3.6    65.0     2.0   -40.1     2.1
2008.0460   -26.6     3.6    65.2     2.0   -41.4     2.1
2008.0490   -23.3     3.7    64.5     2.0   -40.9     2.2
2008.0512   -32.2     3.6    64.0     1.9   -40.3     2.1
2008.0540   -30.0     3.4    61.8     1.9   -40.0     2.0
2008.0570   -27.0     3.3    66.0     1.9   -42.3     2.0
2008.0594   -25.7     3.4    63.8     1.9   -42.6     2.0
