% site name: LBIB
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2009.8884   -14.3     3.6    35.3     1.7   -49.7     1.3
2009.8912    -8.1     3.7    33.7     1.8   -49.8     1.3
2009.8940   -10.2     3.7    33.4     1.7   -49.5     1.2
2009.8970   -10.5     3.5    33.9     1.7   -49.9     1.3
2009.8994   -10.9     3.7    32.8     1.7   -49.1     1.2
2009.9020    -7.9     3.6    34.8     1.7   -47.8     1.3
2009.9050    -7.1     3.6    33.6     1.7   -48.0     1.3
2009.9080    -7.8     3.5    34.1     1.7   -48.4     1.3
2009.9102    -5.2     3.5    34.2     1.7   -47.9     1.3
2009.9130    -9.4     3.5    33.7     1.7   -48.3     1.3
2009.9160    -6.1     3.5    33.6     1.7   -49.2     1.3
2009.9184    -6.1     3.5    33.6     1.7   -49.4     1.3
2009.9212    -5.8     3.5    32.2     1.7   -48.8     1.3
2009.9240    -6.9     3.5    34.4     1.7   -46.6     1.3
2009.9270    -6.0     3.4    33.3     1.7   -46.9     1.2
2009.9294    -7.9     3.5    33.3     1.7   -45.4     1.3
2009.9322    -5.7     3.5    32.8     1.7   -49.0     1.3
2009.9350   -11.5     3.5    34.4     1.7   -48.4     1.3
2009.9380   -10.7     3.5    34.1     1.7   -47.6     1.3
2009.9410   -14.1     3.6    34.1     1.7   -48.5     1.3
2009.9432   -15.4     3.5    34.1     1.7   -47.6     1.3
2009.9460   -14.1     3.5    32.9     1.7   -47.6     1.3
2009.9490    -6.4     3.5    32.2     1.7   -47.5     1.3
2009.9514    -9.5     3.6    32.7     1.7   -48.6     1.3
2009.9541    -7.3     3.6    32.5     1.7   -49.0     1.3
2009.9570   -12.0     3.5    31.0     1.7   -48.9     1.3
2009.9600    -9.6     3.5    31.9     1.7   -48.8     1.3
2009.9624   -12.2     3.5    32.1     1.7   -46.1     1.3
2009.9650   -16.9     3.5    33.0     1.7   -47.9     1.3
2009.9680   -16.7     3.6    32.1     1.7   -48.8     1.3
2009.9710   -10.8     3.6    31.6     1.7   -47.1     1.3
2009.9732   -12.0     3.6    30.7     1.7   -48.9     1.3
2009.9760   -13.1     3.5    31.0     1.7   -48.1     1.3
2009.9790    -9.6     3.6    32.4     1.7   -48.4     1.3
2009.9814   -11.6     3.6    31.7     1.7   -49.0     1.3
2009.9842   -13.1     3.7    32.0     1.7   -47.5     1.3
2009.9870   -12.8     3.6    32.0     1.7   -47.6     1.3
2009.9900   -12.5     3.6    31.4     1.7   -48.0     1.3
2009.9930   -11.4     3.6    31.5     1.7   -46.0     1.3
