% site name: NRSK
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2008.8400   -17.9     4.4    35.1     1.8   -64.0     1.2
2008.8430   -16.4     4.2    34.7     1.8   -63.4     1.2
2008.8453   -23.5     4.1    33.4     1.8   -64.7     1.2
2008.8480   -24.7     4.2    32.7     1.7   -63.6     1.2
2008.8510   -22.3     4.1    32.6     1.7   -63.5     1.2
2008.8540   -18.1     4.2    32.2     1.7   -64.4     1.2
2008.8563   -21.0     4.2    33.1     1.7   -64.4     1.2
2008.8590    -9.4     4.3    33.2     1.7   -63.0     1.2
2008.8620   -21.7     4.2    34.0     1.7   -64.2     1.2
2008.8650   -13.4     4.4    34.6     1.7   -62.7     1.2
2008.8671   -14.0     4.3    34.1     1.8   -64.9     1.2
2008.8700   -20.5     4.2    33.5     1.7   -64.5     1.2
2008.8730   -17.2     4.3    32.2     1.7   -64.2     1.2
2008.8753   -11.1     4.6    32.8     1.8   -62.6     1.2
2008.8781   -18.2     4.2    33.6     1.8   -63.7     1.2
2008.8810   -15.5     4.3    33.4     1.7   -61.7     1.2
2008.8840   -20.8     4.2    31.7     1.7   -64.1     1.3
2008.8863   -19.5     4.2    32.1     1.7   -63.6     1.2
2008.8891   -22.8     4.3    31.8     1.7   -63.4     1.3
2008.8920   -17.2     4.2    32.0     1.7   -64.0     1.2
2008.8950   -18.2     4.2    32.6     1.7   -64.3     1.2
2008.8973   -15.5     4.3    30.5     1.7   -63.4     1.2
2008.9001   -17.7     4.2    30.9     1.7   -63.5     1.2
2008.9030   -15.2     4.3    31.7     1.7   -62.9     1.2
2008.9060   -14.2     4.2    30.6     1.7   -63.2     1.2
2008.9083   -11.0     4.4    30.4     1.7   -63.6     1.2
2008.9110    -8.1     4.4    31.3     1.8   -63.0     1.2
2008.9140    -9.0     4.1    31.4     1.8   -62.5     1.3
2008.9170   -14.2     4.2    31.6     1.7   -62.4     1.2
2008.9191   -14.5     4.1    31.4     1.7   -62.0     1.2
2008.9220   -18.7     4.2    32.1     1.7   -62.4     1.2
2008.9250   -18.0     4.3    33.1     1.7   -62.0     1.2
2008.9273   -11.1     4.1    30.4     1.7   -60.9     1.2
2008.9301    -8.4     4.2    31.5     1.7   -62.1     1.2
2008.9330    -6.2     4.4    32.7     1.7   -60.7     1.2
2008.9360   -13.3     4.2    30.6     1.7   -62.0     1.2
2008.9383   -11.8     4.4    29.6     1.7   -62.6     1.2
2008.9410    -3.6     4.3    30.3     1.8   -62.7     1.2
2008.9440    -4.2     4.2    31.1     1.7   -63.9     1.2
2008.9470   -11.9     4.1    31.0     1.7   -63.1     1.2
2008.9493   -15.5     4.2    29.4     1.7   -62.0     1.2
2008.9521   -13.1     4.3    31.0     1.7   -62.7     1.2
2008.9550   -10.9     4.3    30.2     1.7   -62.8     1.2
2008.9580   -13.0     4.2    31.4     1.7   -63.2     1.3
2008.9603   -15.5     4.1    31.6     1.7   -64.6     1.3
2008.9630   -12.2     4.0    31.2     1.7   -65.9     1.2
2008.9660    -9.2     4.2    30.2     1.7   -63.4     1.2
2008.9690    -2.2     4.1    29.1     1.7   -61.4     1.2
2008.9713    -7.2     4.1    28.1     1.7   -62.2     1.2
2008.9740   -11.4     4.3    28.9     1.7   -60.9     1.1
2008.9770   -11.5     4.1    27.2     1.8   -62.5     1.2
2008.9794   -19.8     4.2    28.4     1.7   -63.2     1.2
2008.9821   -17.4     4.2    31.2     1.7   -62.4     1.2
2008.9850   -19.2     4.3    31.4     1.7   -61.8     1.2
2008.9880   -25.2     4.3    31.3     1.8   -63.6     1.3
2008.9903   -22.7     4.1    30.1     1.8   -62.8     1.2
2008.9931   -21.6     4.1    29.2     1.7   -62.2     1.2
2008.9960   -20.5     4.1    27.9     1.7   -63.6     1.2
2008.9990   -19.1     4.1    27.8     1.7   -62.4     1.2
2009.0013   -24.0     4.1    27.4     1.7   -63.3     1.2
2009.0041   -18.0     4.0    29.8     1.7   -61.2     1.2
2009.0070   -14.9     4.2    28.9     1.7   -62.5     1.2
2009.0100   -12.8     4.3    29.0     1.8   -63.2     1.2
2009.0123   -11.8     4.2    29.3     1.7   -61.3     1.2
2009.0151    -7.4     4.2    30.2     1.8   -60.9     1.2
2009.0180   -17.9     4.2    31.0     1.7   -61.0     1.2
2009.0210   -18.1     4.3    31.3     1.7   -59.6     1.2
2009.0233   -17.1     4.2    31.2     1.8   -60.4     1.2
2009.0260   -20.0     4.2    29.7     1.7   -61.3     1.2
2009.0290   -17.1     4.3    31.4     1.7   -61.1     1.2
2009.0314   -14.4     4.3    30.3     1.7   -61.8     1.2
2009.0341   -22.9     4.2    30.3     1.8   -62.7     1.2
2009.0370   -18.4     4.2    29.3     1.7   -62.3     1.2
2009.0400   -19.9     4.1    30.9     1.7   -61.5     1.2
2009.0423   -24.8     4.2    30.6     1.7   -62.1     1.2
2009.0451   -17.7     4.2    30.3     1.7   -61.5     1.2
2009.0480   -14.8     4.3    31.3     1.7   -59.1     1.2
2009.0510   -20.2     4.2    29.0     1.7   -61.4     1.2
2009.0533   -12.4     4.4    29.5     1.7   -61.1     1.2
2009.0561   -28.1     4.2    29.7     1.8   -63.4     1.2
2009.0590   -16.9     4.4    29.0     1.7   -61.1     1.2
2009.0620   -20.4     4.1    29.8     1.8   -59.8     1.2
2009.0643   -19.7     4.1    26.5     1.7   -60.0     1.2
2009.0671    -9.5     4.2    27.8     1.7   -58.6     1.2
2009.0700   -12.7     4.1    27.0     1.7   -61.7     1.2
2009.0730    -0.8     4.1    27.0     1.7   -59.6     1.2
2009.0753   -11.8     4.2    29.9     1.7   -60.4     1.2
2009.0780   -11.9     7.7    29.5     1.7   -60.4     1.2
2009.0810   -11.0     4.4    28.4     2.2   -58.8     1.2
2009.0834   -20.7     4.2    23.6     1.8   -59.4     1.2
2009.0861   -17.1     4.2    24.7     1.8   -59.7     1.2
2009.0890   -18.8     4.1    24.6     1.7   -61.2     1.2
2009.0920   -17.7     4.3    24.2     1.7   -60.9     1.2
2009.0944   -19.4     4.1    22.7     1.7   -58.8     1.2
2009.0971   -19.1     4.1    22.3     1.7   -59.2     1.2
2009.1000    -5.4     4.2    22.2     1.7   -56.8     1.2
2009.1030    -6.5     4.4    21.0     1.7   -58.6     1.3
2009.1053    -3.3     4.2    20.9     1.8   -59.1     1.2
2009.1081    -6.3     4.3    20.9     1.7   -58.2     1.3
2009.1110   -12.5     4.2    20.9     1.7   -58.1     1.2
2009.1140   -12.7     4.1    21.2     1.7   -57.9     1.2
2009.1164   -11.5     4.1    21.3     1.7   -58.4     1.2
2009.1191   -20.0     4.1    21.3     1.7   -59.1     1.2
2009.1220   -16.4     4.1    20.0     1.7   -57.3     1.2
2009.1250   -18.5     4.2    21.1     1.7   -59.3     1.2
2009.1273   -23.0     4.1    23.4     1.7   -60.6     1.5
2009.1300    -8.8     4.1    23.4     1.7   -58.3     1.3
2009.1330   -10.4     4.3    23.6     1.7   -58.2     1.2
2009.1354   -17.9     4.1    23.2     1.7   -56.0     1.2
2009.1383   -12.1     4.0    21.8     1.7   -56.5     1.2
2009.1410   -17.7     4.1    23.4     1.7   -56.7     1.2
2009.1440   -23.8     4.0    20.3     1.7   -58.5     1.2
2009.1464   -14.0     4.1    19.9     1.7   -57.0     1.2
2009.1491   -17.7     4.2    20.3     1.7   -57.4     1.2
2009.1520   -17.1     4.2    22.4     1.7   -57.4     1.2
2009.1550   -18.5     4.3    22.2     1.7   -58.1     1.2
2009.1573   -15.0     4.2    21.1     1.7   -56.3     1.2
2009.1601   -22.3     4.1    20.5     1.8   -57.0     1.2
2009.1630   -19.8     4.2    21.3     1.7   -55.5     1.2
2009.1660   -16.6     4.2    21.8     1.7   -57.5     1.2
2009.1684   -11.6     4.2    21.7     1.7   -56.1     1.2
2009.1711   -13.8     4.1    20.3     1.8   -59.6     1.2
2009.1740   -18.9     4.1    24.3     1.7   -58.3     1.2
2009.1770   -15.2     4.2    23.5     1.7   -56.8     1.2
2009.1793   -14.7     4.1    22.4     1.8   -57.1     1.2
2009.1821   -20.4     4.0    21.4     1.7   -57.8     1.2
2009.1850   -19.9     4.3    21.2     1.7   -58.1     1.2
2009.1874   -24.9     4.0    21.0     1.7   -57.5     1.2
2009.1903   -22.8     4.1    20.2     1.7   -56.1     1.2
2009.1930   -20.6     4.1    22.6     1.7   -55.9     1.2
2009.1960   -21.8     4.2    20.9     1.7   -57.2     1.2
2009.1984   -20.3     4.1    20.9     1.7   -55.2     1.2
2009.2011   -16.6     4.2    21.3     1.7   -55.3     1.2
2009.2040   -20.8     4.2    19.1     1.7   -58.0     1.2
2009.2070   -19.0     4.1    19.6     1.7   -57.6     1.2
2009.2093   -28.8     4.1    17.9     1.7   -58.4     1.2
2009.2121   -21.2     4.0    18.0     1.7   -57.9     1.2
2009.2150   -20.7     4.1    19.9     1.7   -56.8     1.2
2009.2180   -20.0     4.0    18.8     1.7   -57.6     1.2
2009.2204   -20.8     4.1    20.4     1.7   -57.8     1.2
2009.2231   -17.8     4.3    20.1     1.7   -58.1     1.2
2009.2260   -17.7     4.3    19.8     1.8   -57.1     1.2
2009.2290   -14.9     4.1    19.7     1.8   -57.2     1.2
2009.2313   -20.3     4.1    20.7     1.7   -58.3     1.2
2009.2341   -16.5     4.1    21.1     1.7   -57.8     1.2
2009.2370   -18.9     4.1    20.9     1.7   -57.7     1.2
2009.2400   -18.2     4.2    20.7     1.7   -56.5     1.2
2009.2423   -14.3     4.1    20.9     1.7   -55.3     1.2
2009.2450   -15.4     4.2    21.9     1.7   -56.3     1.2
2009.2480   -15.4     4.2    21.1     1.7   -57.1     1.2
2009.2504   -22.0     4.1    22.6     1.7   -57.1     1.2
2009.2532   -19.6     4.2    24.4     1.7   -56.7     1.2
2009.2560   -28.4     4.1    23.8     1.7   -56.6     1.2
2009.2590   -22.4     4.2    21.4     1.7   -56.1     1.2
2009.2614   -19.6     4.3    23.1     1.7   -55.4     1.2
2009.2641   -20.5     4.2    24.0     1.7   -55.1     1.2
2009.2670   -20.8     4.3    24.4     1.7   -54.5     1.2
2009.2700   -21.8     4.1    23.1     1.7   -56.1     1.2
2009.2724   -22.5     4.1    23.1     1.7   -55.1     1.2
2009.2751   -23.1     4.1    22.9     1.7   -56.6     1.2
2009.2780   -20.6     4.3    23.6     1.7   -56.5     1.2
2009.2810   -25.4     4.3    22.1     1.7   -56.1     1.2
2009.2834   -27.8     4.2    23.5     1.7   -55.5     1.2
2009.2861   -22.7     4.2    23.9     1.7   -53.5     1.2
2009.2890   -24.8     4.1    22.4     1.7   -55.1     1.2
2009.2920   -22.4     4.2    22.4     1.7   -55.0     1.2
2009.2943   -20.4     4.2    21.6     1.7   -53.7     1.2
2009.2971   -18.0     4.3    24.7     1.7   -54.5     1.2
2009.3000   -22.4     4.3    24.0     1.7   -55.8     1.2
2009.3024   -14.3     4.2    24.3     1.7   -54.0     1.2
2009.3052   -15.4     4.2    26.2     1.7   -53.5     1.2
2009.3080   -19.4     4.2    26.1     1.7   -54.5     1.2
2009.3110   -13.7     6.9    26.6     1.8   -53.7     1.2
2009.3134    -8.7     4.1    26.5     2.4   -54.1     1.2
2009.3161    -9.7     4.1    27.1     1.7   -53.3     1.1
2009.3190   -12.5     4.1    26.5     1.7   -54.1     1.2
2009.3220   -13.8     4.1    25.8     1.7   -53.2     1.2
2009.3243   -14.7     4.1    26.9     1.7   -53.7     1.2
2009.3271   -13.6     4.2    28.3     1.7   -52.7     1.2
2009.3300   -22.6     4.1    25.3     1.7   -56.3     1.2
2009.3330   -17.4     4.1    27.6     1.7   -53.9     1.2
2009.3354   -14.7     4.1    27.9     1.7   -54.1     1.2
2009.3381   -13.5     4.1    26.3     1.7   -55.7     1.2
2009.3410   -12.6     4.1    26.9     1.7   -53.8     1.2
2009.3440   -18.8     4.1    25.7     1.7   -54.9     1.2
2009.3463    -6.1     4.0    26.4     1.7   -53.5     1.2
2009.3491   -15.8     4.1    26.5     1.7   -54.6     1.1
2009.3520   -16.3     4.3    25.8     1.7   -54.5     1.2
2009.3550   -10.6     4.1    25.7     1.7   -53.7     1.2
2009.3572   -18.6     4.0    27.6     1.7   -54.7     1.2
